Date,ElCons,Heat,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
01/01/2019,799.86,3192,1.5,-1,2.7,4.5,0.5
02/01/2019,787.14,3994,0.2,-1,-2.9,2.2,-6.1
03/01/2019,696.91,5048,1.8,-1,-9.1,-6.1,-11.1
04/01/2019,789.18,4093,0.5,0,-1.2,1.2,-12.1
05/01/2019,677.54,4550,-1,2,-4.7,-0.3,-5.4
06/01/2019,687.89,4478,0.8,2,-3.5,0.5,-7.6
07/01/2019,1064.79,3595,3.5,-1,1.3,2.6,-0.2
08/01/2019,1092.52,3539,12.2,0,0.4,1.8,-0.9
09/01/2019,1002.54,3822,0.8,14,-1.9,0,-4.1
10/01/2019,999.38,4289,0.5,13,-4.1,-3.1,-6.1
11/01/2019,995.48,3538,-1,11,1.4,2.1,-3.8
12/01/2019,667.6,3783,-1,8,-1.3,2,-3.6
13/01/2019,667.79,3905,5.5,8,-2.2,1.1,-6.3
14/01/2019,998.24,3781,1.1,11,-2,0.7,-4.8
15/01/2019,984.99,4399,0.6,12,-6.1,-4.4,-9.6
16/01/2019,982.24,4519,11.2,14,-5.3,-3.4,-8.7
17/01/2019,989.61,4271,0.8,24,-4.5,-1.2,-7.5
18/01/2019,970.5,5002,-1,23,-9.2,-6.1,-11.4
19/01/2019,972.4,4752,2.2,22,-5.2,0.6,-13
20/01/2019,964.5,4975,-1,23,-7.9,-0.4,-11.7
21/01/2019,956.25,6050,-1,21,-15.1,-11.4,-17.3
22/01/2019,981.19,5995,0.3,21,-13.8,-5.3,-20.3
23/01/2019,994.72,4439,1.8,21,-1.7,0.1,-5.6
24/01/2019,941.62,5183,-1,22,-7.8,-1.2,-10.7
25/01/2019,970.35,4619,2.1,21,-3.6,-2.1,-10.1
26/01/2019,650.84,5049,2.5,23,-8.2,-4.7,-9.9
27/01/2019,644.29,5729,-1,29,-13.8,-9.8,-16
28/01/2019,982.85,5200,12.3,27,-7.3,-5.1,-15.9
29/01/2019,975.4,4663,8.6,36,-4.5,-3.8,-5.6
30/01/2019,987.22,4104,1.2,42,-0.8,0.8,-4.7
31/01/2019,970.4,3964,-1,40,-0.8,0.7,-3.4
01/02/2019,969.85,4386,0.8,39,-3.6,-1.3,-5.8
02/02/2019,659.7,4302,8.1,37,-2.6,-1.9,-4.4
03/02/2019,667.94,4015,5.7,42,-0.6,2,-3.3
04/02/2019,753.3,4297,1.6,39,-3.5,1.2,-5.8
05/02/2019,953.39,3840,5.2,39,0,1.2,-5.7
06/02/2019,1007.79,4276,2.2,44,-3.7,-0.2,-7.8
07/02/2019,849.99,3804,1.1,46,0.1,1.7,-6
08/02/2019,947.87,3488,0.5,43,1.5,2.4,0.7
09/02/2019,670.46,3378,5.9,34,2,2.7,1.6
10/02/2019,675.1,3308,2.5,31,2.2,3.1,0.5
11/02/2019,984.52,3342,7.3,28,1.3,2.8,0.4
12/02/2019,954.54,3695,-1,27,-1.1,0.7,-2.3
13/02/2019,984.67,3664,1.9,27,-0.1,1.1,-3.7
14/02/2019,927.73,3304,-1,28,2.3,2.9,0.7
15/02/2019,930.58,2931,-1,26,5,7.7,1.9
16/02/2019,668.72,3100,-1,25,3,6.9,0.9
17/02/2019,663.4,3375,-1,22,1.2,4,-0.9
18/02/2019,723.67,3506,-1,22,0.7,2.5,-2.7
19/02/2019,731.03,3236,3.7,19,2.1,2.2,1.6
20/02/2019,745.5,3554,0.1,17,-0.6,2.8,-3.8
21/02/2019,721.64,4546,-1,16,-6.4,-3.8,-8.3
22/02/2019,698.97,4812,1.6,16,-6.2,-2.2,-10.8
23/02/2019,655.98,3718,-1,16,1.8,5.2,-4.5
24/02/2019,659.73,3481,-1,16,2.7,4.5,0.9
25/02/2019,981.01,2913,0.9,14,5.2,7.8,4.2
26/02/2019,966.36,3252,-1,13,2.1,4.8,1.1
27/02/2019,985.9,3012,-1,12,3.5,5.7,-0.5
28/02/2019,963.63,3053,0.5,11,2,5.1,-1.2
01/03/2019,928.45,4164,-1,10,-4.9,-1.1,-7.6
02/03/2019,675.5,3536,-1,10,0.5,3.1,-5.2
03/03/2019,665.5,4238,-1,10,-4.9,1.5,-7.9
04/03/2019,982.19,3996,3.8,9,-2.7,-1.3,-4.9
05/03/2019,956.66,4126,-1,14,-4.6,-1.3,-7.4
06/03/2019,983.63,4719,0.2,13,-6.9,-2.7,-14.3
07/03/2019,1004.76,3748,8.7,12,0.2,0.7,-2.8
08/03/2019,969.53,3199,5.1,13,3,4.7,0.6
09/03/2019,686.44,3409,3.7,9,0.4,3.3,-1.9
10/03/2019,681.95,3521,-1,10,-0.8,2.1,-2.2
11/03/2019,1028.04,4120,0.1,10,-4.9,-2.2,-6.7
12/03/2019,991.05,4309,-1,10,-4.8,-1.3,-8.6
13/03/2019,954.79,4102,4.2,10,-3.3,-0.1,-9.1
14/03/2019,985.65,3502,0.4,14,1.4,2.6,-1.1
15/03/2019,955.39,3284,3.7,10,2.1,2.5,1.5
16/03/2019,683.53,3265,1.7,8,1.8,3.1,1.1
17/03/2019,682.79,3262,8.1,7,1.7,2.5,0.6
18/03/2019,978.36,2981,1,5,3.3,4.1,1.7
19/03/2019,975.61,3009,0.2,2,2.6,4.9,2
20/03/2019,973.52,3232,0.7,-1,1.3,3.3,-0.4
21/03/2019,990.13,2954,0.1,-1,2.9,5.3,0.9
22/03/2019,969.53,2824,-1,-1,3.9,7.4,1.2
23/03/2019,698.9,3022,0.5,-1,2.3,3.6,1.2
24/03/2019,697.66,2785,-1,-1,4,6.8,1.5
25/03/2019,1009.08,3039,0.2,-1,1.5,5.3,-0.7
26/03/2019,971.87,3238,-1,-1,0.3,3.5,-2.9
27/03/2019,955.33,3265,-1,-1,0.2,3.1,-4.1
28/03/2019,991.01,2847,-1,-1,3.6,7.4,-0.9
29/03/2019,926.03,2405,-1,-1,6.1,11.5,2.6
30/03/2019,754.25,2430,1.2,-1,5.3,10,2.8
31/03/2019,720.6,2627,1,-1,3.3,5.6,2.3
01/04/2019,1027.69,2813,-1,-1,3.5,7.8,-0.1
02/04/2019,1012.62,2764,-1,-1,3.4,6,1
03/04/2019,965.77,2447,-1,-1,6,10.8,2.1
04/04/2019,999.78,2168,-1,-1,6.6,12.5,3.5
05/04/2019,967.58,2190,-1,-1,5.8,11.6,-0.1
06/04/2019,737.87,2208,-1,-1,6.6,10.9,2.1
07/04/2019,733.11,2139,-1,-1,6.4,10.3,1
08/04/2019,985.01,2564,3.4,-1,2.3,9.5,1.3
09/04/2019,989.52,2732,2.1,-1,2.2,5.1,0.9
10/04/2019,981.94,3271,-1,-1,-0.4,2.5,-1.2
11/04/2019,997.14,3380,-1,-1,-0.3,4.3,-3.1
12/04/2019,953.71,3107,-1,-1,1.5,5,-3.6
13/04/2019,719.4,2767,-1,-1,4.5,6.4,2
14/04/2019,753,2591,-1,-1,4.9,8.9,3.2
15/04/2019,989.68,2531,-1,-1,4.7,9.1,-0.7
16/04/2019,997.43,2148,-1,-1,7.1,13.1,1.1
17/04/2019,987.63,2009,-1,-1,7,11.1,1.1
18/04/2019,1060.75,1644,-1,-1,9.2,15.8,3.9
